original_name,space,space_name,dimension,cc_level,cc_sublevel,cc_level_name,cc_sublevel_name,group_label
dim_237,CC,Chemical Checker,237,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_238,CC,Chemical Checker,238,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_239,CC,Chemical Checker,239,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_240,CC,Chemical Checker,240,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_241,CC,Chemical Checker,241,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_242,CC,Chemical Checker,242,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_243,CC,Chemical Checker,243,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_244,CC,Chemical Checker,244,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_245,CC,Chemical Checker,245,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_246,CC,Chemical Checker,246,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_247,CC,Chemical Checker,247,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_248,CC,Chemical Checker,248,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
