elementwise_feature,metric,base_feature,space,dimension
euc_elem_1716,euclidean,dim_1716,CC,1716
euc_elem_271,euclidean,dim_271,CC,271
euc_elem_705,euclidean,dim_705,CC,705
euc_elem_3141,euclidean,dim_3141,CC,3141
cos_elem_645,cosine,dim_645,CC,645
cos_elem_623,cosine,dim_623,CC,623
euc_elem_2844,euclidean,dim_2844,CC,2844
cos_elem_2726,cosine,dim_2726,CC,2726
cos_elem_2736,cosine,dim_2736,CC,2736
cos_elem_641,cosine,dim_641,CC,641
euc_elem_2856,euclidean,dim_2856,CC,2856
cos_elem_2719,cosine,dim_2719,CC,2719
euc_elem_767,euclidean,dim_767,CC,767
euc_elem_3089,euclidean,dim_3089,CC,3089
euc_elem_3104,euclidean,dim_3104,CC,3104
cos_elem_204,cosine,dim_204,CC,204
cos_elem_260,cosine,dim_260,CC,260
cos_elem_244,cosine,dim_244,CC,244
euc_elem_3103,euclidean,dim_3103,CC,3103
euc_elem_202,euclidean,dim_202,CC,202
cos_elem_1610,cosine,dim_1610,CC,1610
euc_elem_214,euclidean,dim_214,CC,214
euc_elem_3116,euclidean,dim_3116,CC,3116
cos_elem_1649,cosine,dim_1649,CC,1649
euc_elem_2180,euclidean,dim_2180,CC,2180
euc_elem_3206,euclidean,s_6,S,6
euc_elem_623,euclidean,dim_623,CC,623
euc_elem_685,euclidean,dim_685,CC,685
cos_elem_2183,cosine,dim_2183,CC,2183
euc_elem_1416,euclidean,dim_1416,CC,1416
cos_elem_2134,cosine,dim_2134,CC,2134
euc_elem_3169,euclidean,dim_3169,CC,3169
euc_elem_2821,euclidean,dim_2821,CC,2821
cos_elem_2637,cosine,dim_2637,CC,2637
cos_elem_2629,cosine,dim_2629,CC,2629
euc_elem_1442,euclidean,dim_1442,CC,1442
euc_elem_2835,euclidean,dim_2835,CC,2835
euc_elem_602,euclidean,dim_602,CC,602
cos_elem_1501,cosine,dim_1501,CC,1501
euc_elem_2355,euclidean,dim_2355,CC,2355
cos_elem_1488,cosine,dim_1488,CC,1488
euc_elem_502,euclidean,dim_502,CC,502
euc_elem_508,euclidean,dim_508,CC,508
euc_elem_3327,euclidean,s_127,S,127
cos_elem_1511,cosine,dim_1511,CC,1511
euc_elem_2372,euclidean,dim_2372,CC,2372
euc_elem_2359,euclidean,dim_2359,CC,2359
euc_elem_2227,euclidean,dim_2227,CC,2227
cos_elem_1330,cosine,dim_1330,CC,1330
euc_elem_2352,euclidean,dim_2352,CC,2352
euc_elem_413,euclidean,dim_413,CC,413
euc_elem_369,euclidean,dim_369,CC,369
euc_elem_357,euclidean,dim_357,CC,357
euc_elem_359,euclidean,dim_359,CC,359
euc_elem_400,euclidean,dim_400,CC,400
euc_elem_406,euclidean,dim_406,CC,406
cos_elem_128,cosine,dim_128,CC,128
euc_elem_3286,euclidean,s_86,S,86
euc_elem_2285,euclidean,dim_2285,CC,2285
cos_elem_1416,cosine,dim_1416,CC,1416
cos_elem_1372,cosine,dim_1372,CC,1372
euc_elem_2327,euclidean,dim_2327,CC,2327
euc_elem_418,euclidean,dim_418,CC,418
euc_elem_444,euclidean,dim_444,CC,444
euc_elem_433,euclidean,dim_433,CC,433
euc_elem_451,euclidean,dim_451,CC,451
cos_elem_124,cosine,dim_124,CC,124
cos_elem_2642,cosine,dim_2642,CC,2642
euc_elem_2827,euclidean,dim_2827,CC,2827
euc_elem_2846,euclidean,dim_2846,CC,2846
cos_elem_690,cosine,dim_690,CC,690
cos_elem_2677,cosine,dim_2677,CC,2677
cos_elem_2680,cosine,dim_2680,CC,2680
euc_elem_1421,euclidean,dim_1421,CC,1421
cos_elem_2191,cosine,dim_2191,CC,2191
euc_elem_1746,euclidean,dim_1746,CC,1746
euc_elem_1752,euclidean,dim_1752,CC,1752
cos_elem_2161,cosine,dim_2161,CC,2161
cos_elem_2133,cosine,dim_2133,CC,2133
cos_elem_2676,cosine,dim_2676,CC,2676
cos_elem_2725,cosine,dim_2725,CC,2725
cos_elem_2731,cosine,dim_2731,CC,2731
euc_elem_1351,euclidean,dim_1351,CC,1351
cos_elem_2805,cosine,dim_2805,CC,2805
cos_elem_2808,cosine,dim_2808,CC,2808
euc_elem_1327,euclidean,dim_1327,CC,1327
cos_elem_2772,cosine,dim_2772,CC,2772
cos_elem_2109,cosine,dim_2109,CC,2109
cos_elem_1043,cosine,dim_1043,CC,1043
cos_elem_2831,cosine,dim_2831,CC,2831
euc_elem_1296,euclidean,dim_1296,CC,1296
euc_elem_1304,euclidean,dim_1304,CC,1304
euc_elem_1305,euclidean,dim_1305,CC,1305
cos_elem_2882,cosine,dim_2882,CC,2882
euc_elem_2893,euclidean,dim_2893,CC,2893
cos_elem_2027,cosine,dim_2027,CC,2027
cos_elem_1048,cosine,dim_1048,CC,1048
euc_elem_2577,euclidean,dim_2577,CC,2577
cos_elem_1071,cosine,dim_1071,CC,1071
cos_elem_2175,cosine,dim_2175,CC,2175
euc_elem_2637,euclidean,dim_2637,CC,2637
euc_elem_2646,euclidean,dim_2646,CC,2646
cos_elem_2176,cosine,dim_2176,CC,2176
cos_elem_2564,cosine,dim_2564,CC,2564
cos_elem_679,cosine,dim_679,CC,679
cos_elem_715,cosine,dim_715,CC,715
cos_elem_1896,cosine,dim_1896,CC,1896
cos_elem_1087,cosine,dim_1087,CC,1087
cos_elem_1943,cosine,dim_1943,CC,1943
