Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
amoxicillin,auranofin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,AUJRCFUBUPVWSZ-XTZHGVARSA-M,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
auranofin,ciprofloxacin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,MYSWGUAQZAJSOK-UHFFFAOYSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
auranofin,nitrofurantoin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,NXFQHRVNIOXGAQ-YCRREMRBSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
auranofin,diacerein,AUJRCFUBUPVWSZ-XTZHGVARSA-M,TYNLGDBUJLVSMA-UHFFFAOYSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'TYNLGDBUJLVSMA-UHFFFAOYSA-N')"
auranofin,streptomycin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,UCSJYZPVAKXKNQ-HZYVHMACSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
auranofin,spectinomycin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,UNFWWIHTNXNPBV-WXKVUWSESA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
auranofin,metronidazole,AUJRCFUBUPVWSZ-XTZHGVARSA-M,VAOCPAMSLUNLGC-UHFFFAOYSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'VAOCPAMSLUNLGC-UHFFFAOYSA-N')"
auranofin,pyocyanin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,YNCMLFHHXWETLD-UHFFFAOYSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
acetylsalicylic acid,teicoplanin,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BJNLLBUOHPVGFT-CAYRISATSA-N,"('BJNLLBUOHPVGFT-CAYRISATSA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')"
moxifloxacin,teicoplanin,FABPRXSRWADJSP-MEDUHNTESA-N,BJNLLBUOHPVGFT-CAYRISATSA-N,"('BJNLLBUOHPVGFT-CAYRISATSA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')"
cefotaxime,teicoplanin,GPRBEKHLDVQUJE-QSWIMTSFSA-N,BJNLLBUOHPVGFT-CAYRISATSA-N,"('BJNLLBUOHPVGFT-CAYRISATSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
