elementwise_feature,metric,base_feature,space,dimension
cos_elem_775,cosine,dim_775,CC,775
cos_elem_1481,cosine,dim_1481,CC,1481
cos_elem_3147,cosine,dim_3147,CC,3147
euc_elem_384,euclidean,dim_384,CC,384
euc_elem_2875,euclidean,dim_2875,CC,2875
euc_elem_401,euclidean,dim_401,CC,401
euc_elem_392,euclidean,dim_392,CC,392
euc_elem_465,euclidean,dim_465,CC,465
cos_elem_702,cosine,dim_702,CC,702
cos_elem_783,cosine,dim_783,CC,783
euc_elem_2340,euclidean,dim_2340,CC,2340
euc_elem_752,euclidean,dim_752,CC,752
cos_elem_1493,cosine,dim_1493,CC,1493
cos_elem_2725,cosine,dim_2725,CC,2725
euc_elem_2419,euclidean,dim_2419,CC,2419
cos_elem_1555,cosine,dim_1555,CC,1555
euc_elem_800,euclidean,dim_800,CC,800
cos_elem_922,cosine,dim_922,CC,922
euc_elem_1387,euclidean,dim_1387,CC,1387
euc_elem_1380,euclidean,dim_1380,CC,1380
euc_elem_2937,euclidean,dim_2937,CC,2937
euc_elem_95,euclidean,dim_95,CC,95
euc_elem_1253,euclidean,dim_1253,CC,1253
cos_elem_1635,cosine,dim_1635,CC,1635
euc_elem_1067,euclidean,dim_1067,CC,1067
