feature,importance_gain_mean,importance_gain_std
cos_elem_602,39.180925405025484,15.602624819733004
cos_elem_2157,38.991538256406784,29.892496813930094
euc_elem_382,38.865228378772734,7.115749884256544
cos_elem_285,38.86402639746666,29.66260571861874
cos_elem_757,38.750758895277976,25.97423822223598
cos_elem_968,38.69021216034889,16.42802553460123
euc_elem_2457,38.464828085899356,28.677073073919164
euc_elem_607,38.42248446941376,19.086156731800923
euc_elem_2843,37.947678071260455,20.251317559689664
cos_elem_2340,37.913686311244966,18.12246702595072
cos_elem_715,37.88981241881847,22.46316197814324
euc_elem_1035,37.810877591371536,17.65478023374124
euc_elem_271,37.78727552294731,20.29850885966683
euc_elem_1595,37.71970556080341,26.483429886970455
euc_elem_1423,37.714292311668395,24.003996388508195
euc_elem_1631,37.69687348604202,23.137044020088204
cos_elem_2743,37.652593926340344,41.01995667430671
cos_elem_812,37.559515681862834,9.848482690215636
cos_elem_2538,37.36164432913065,23.498783576885756
cos_elem_1472,37.35045770406723,17.076989251055643
cos_elem_445,37.33879164755344,18.019761740582297
cos_elem_791,37.304357543587685,22.44406394970773
euc_elem_2940,37.29470479488373,28.27264900642307
cos_elem_1458,37.29227523505688,19.520522893371044
euc_elem_1997,37.27014682888985,27.421628132624118
euc_elem_2279,37.21836575269699,19.269013376461185
cos_elem_2838,37.16837332248688,21.681312169509848
cos_elem_1547,37.15909983515739,23.880088873375502
cos_elem_2080,37.15214418172836,8.60211439408888
euc_elem_618,37.098147702217105,22.040533763628343
euc_elem_1511,37.021936351060866,18.541828915563364
euc_elem_2225,37.009029710292815,23.154846850997995
cos_elem_2741,36.98960149884224,23.55044227347262
cos_elem_2521,36.95596290230751,33.88273152117793
euc_elem_2795,36.94659640789032,13.552718408401049
euc_elem_2474,36.937931752204896,24.53807236470902
euc_elem_3088,36.829347878694534,29.13595090793234
euc_elem_576,36.82194538712501,16.92808087082424
cos_elem_2175,36.79639580845833,14.741168613472741
cos_elem_1035,36.76376501321793,29.214596569883714
cos_elem_423,36.761746203899385,19.764802493573708
euc_elem_2714,36.7576829791069,23.53657123337537
cos_elem_980,36.74621631503105,17.216835818008093
cos_elem_1776,36.74603661298752,22.96903484704376
euc_elem_2866,36.71056035757065,22.700686435984267
euc_elem_194,36.69154152274132,18.10957943812757
euc_elem_653,36.66985486149788,17.027907651728167
cos_elem_19,36.63889482617378,11.80353993860289
euc_elem_2228,36.610340896248815,12.937800602001415
euc_elem_2324,36.56521845459938,25.110321474088103
cos_elem_2889,36.498728555440906,14.68946144447049
cos_elem_193,36.47203471064567,38.00722190236683
euc_elem_21,36.47003270983696,26.369552099635126
cos_elem_3000,36.442619033157825,30.822721222570785
cos_elem_2609,36.329366417974235,15.723366842465857
cos_elem_3201,36.28950915336609,21.097296683685173
euc_elem_1894,36.25682479143143,14.297143063909433
euc_elem_686,36.25013636946678,21.605295225629018
euc_elem_624,36.2416244328022,12.36938447393759
cos_elem_2880,36.230076944828035,18.416844332085486
cos_elem_2450,36.19832478165627,29.24176979433953
cos_elem_2612,36.01292617321015,22.46806321357236
euc_elem_2935,35.99746348261833,21.63009144752441
euc_elem_897,35.99041568562389,24.78162583893577
euc_elem_2340,35.96631984114647,29.877729632133725
euc_elem_2184,35.946703591942786,7.246653924820575
cos_elem_1754,35.812812227010724,24.808447830125044
