Drug A,Drug B,Strain,Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
aztreonam,clindamycin,escherichia coli bw25113,-0.91,Synergy,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,escherichia coli,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,vancomycin,escherichia coli bw25113,-0.87,Synergy,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,MYPYJXKWCTUITO-LYRMYLQWSA-N,escherichia coli,"('MYPYJXKWCTUITO-LYRMYLQWSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,gentamicin,escherichia coli bw25113,-0.75,Synergy,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,escherichia coli,"('CEAZRRDELHUEMR-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,chloramphenicol,escherichia coli bw25113,-0.73,Synergy,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,WIIZWVCIJKGZOK-RKDXNWHRSA-N,escherichia coli,"('WIIZWVCIJKGZOK-RKDXNWHRSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,trimethoprim,escherichia coli bw25113,-0.43,Synergy,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,ciprofloxacin,escherichia coli bw25113,-0.2,Additivity,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,escherichia coli,"('MYSWGUAQZAJSOK-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,nitrofurantoin,escherichia coli bw25113,0.28,Additivity,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,escherichia coli,"('NXFQHRVNIOXGAQ-YCRREMRBSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,rifampicin,escherichia coli bw25113,0.99,Antagonism,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,fosfomycin,enterobacteriaceae,1.25,Indifferent,FICI,31213392,WZPBZJONDBGPKJ-VEHQQRBSSA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,nan,"('WZPBZJONDBGPKJ-VEHQQRBSSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
aztreonam,levofloxacin,pseudomonas aeruginosa,1,Additivity,FICI,33582141,WZPBZJONDBGPKJ-VEHQQRBSSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
cefazolin,fosfomycin,methicillin-resistant staphylococcus aureus 845/19,0.05,Synergy,FICI,34045971,MLYYVTUWGNIJIB-BXKDBHETSA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,nan,"('MLYYVTUWGNIJIB-BXKDBHETSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
cefazolin,fosfomycin,methicillin-resistant staphylococcus aureus 856/18,0.04,Synergy,FICI,34045971,MLYYVTUWGNIJIB-BXKDBHETSA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,nan,"('MLYYVTUWGNIJIB-BXKDBHETSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
